id	restaurantName	area	foodType	googleRating	reviewCount	pricePerPersonTHB	priceCategory	location	btsMrtDistanceM	openingHours	suitableForGroup	sourceUrl	dataQualityScore
ra01	Krua Jiang Mai	Thonglor	Thai	4.8	2723	275	Low	125 24 Thong Lo Thonglor, Watthana, Bangkok	450	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Krua%20Jiang%20Mai&query_place_id=ChIJh7s6GVOe4jAReTmapQOwBQ0	100.0
ra02	BARTELS Thonglor - Sourdough Sandwiches, Coffee & Juicery	Thonglor	Cafe	4.7	922	325	Mid	Market Place, 323 Thong Lo Thonglor, Watthana, Bangkok	600	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=BARTELS%20Thonglor%20-%20Sourdough%20Sandwiches%2C%20Coffee%20%26%20Juicery&query_place_id=ChIJRYG-ZEmf4jARsi5wK97SIJU	100.0
ra03	Lucca Thonglor – Mediterranean Restaurant, Rooftop & All-Day Brunch	Thonglor	Other	4.9	822	650	Mid	Thonglor, 125/26 Thong Lo Thonglor, Watthana, Bangkok	550	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Lucca%20Thonglor%20%E2%80%93%20Mediterranean%20Restaurant%2C%20Rooftop%20%26%20All-Day%20Brunch&query_place_id=ChIJbx8TnXKf4jARvOgGrfi8gCQ	100.0
ra04	Supanniga Eating Room by Khun Yai	Thonglor	Thai	4.4	1725	500	Mid	160/11 Thong Lo Thonglor, Watthana, Bangkok	700	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Supanniga%20Eating%20Room%20by%20Khun%20Yai&query_place_id=ChIJYSgxk6yf4jAROxN8pCQzqJA	100.0
ra05	Fuego	Thonglor	Other	4.8	618	600	Mid	ตึก The Taste Thonglor ชั้น 2 Thong Lo Thonglor, Watthana, Bangkok	400	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Fuego&query_place_id=ChIJN7fHY7Gf4jAR8jjTD8UA81k	100.0
ra06	Gapple - Market Place Thonglor	Thonglor	Other	5	293	275	Low	โครงการ มาร์เก็ต เพลส, 15 323 Thong Lo Thonglor, Watthana, Bangkok	500	10:00-22:00 daily	partial	https://www.google.com/maps/search/?api=1&query=Gapple%20-%20Market%20Place%20Thonglor&query_place_id=ChIJR-cxHrOf4jARx4hXDW_x3Q8	100.0
ra07	Breakfast Story Thonglor	Thonglor	Other	4.7	582	325	Mid	154 Thong Lo Thonglor, Watthana, Bangkok	650	10:00-22:00 daily	partial	https://www.google.com/maps/search/?api=1&query=Breakfast%20Story%20Thonglor&query_place_id=ChIJa5vc1pSf4jARnkGCYRYBpE8	100.0
ra08	Di Vino Bangkok | Italian Restaurant Thonglor	Thonglor	Italian	4.7	382	625	Mid	Penny’s Balcony, Thong Lo Thonglor, Watthana, Bangkok	750	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Di%20Vino%20Bangkok%20%7C%20Italian%20Restaurant%20Thonglor&query_place_id=ChIJi7QNHVOe4jARgyB05vA6Gk4	100.0
ra09	GaGa Udon House @Thonglor	Thonglor	Japanese	4.8	1325	325	Mid	No. 90 Building, 1st Floor, Fifty Fifth Thonglor Thonglor, Napha Sap Alley, Lane 2 Thonglor, Watthana, Bangkok	500	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=GaGa%20Udon%20House%20%40Thonglor&query_place_id=ChIJ-9VINeef4jARrEtHnUew4MY	100.0
ra10	KhuaKling PakSod Thong Lo	Thonglor	Thai	4.5	1506	375	Mid	98/1 Pai Di Ma Di Klang Alley Thonglor, Watthana, Bangkok	600	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=KhuaKling%20PakSod%20Thong%20Lo&query_place_id=ChIJe26gkKuf4jARIiXTKzB4REo	100.0
