id	source	restaurantName	area	foodType	googleRating	reviewCount	priceRange	location	distanceTravelNote	openingHours	suitableForGroup	sourceUrl	notes
ra01	src_1	Krua Jiang Mai	Thonglor	Thai	4.8	2723	฿฿ (200-350 THB/person)	125 24 Thong Lo Thonglor, Watthana, Bangkok	~450m from BTS Thonglor	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Krua%20Jiang%20Mai&query_place_id=ChIJh7s6GVOe4jAReTmapQOwBQ0	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 99 196 2464. Website: . Category: Thai restaurant.
ra02	src_1	BARTELS Thonglor - Sourdough Sandwiches, Coffee & Juicery	Thonglor	Cafe	4.7	922	฿฿ (250-400 THB/person)	Market Place, 323 Thong Lo Thonglor, Watthana, Bangkok	~600m from BTS Thonglor	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=BARTELS%20Thonglor%20-%20Sourdough%20Sandwiches%2C%20Coffee%20%26%20Juicery&query_place_id=ChIJRYG-ZEmf4jARsi5wK97SIJU	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 61 710 8448. Website: https://bartelsthailand.com/. Category: Brunch restaurant.
ra03	src_1	Lucca Thonglor – Mediterranean Restaurant, Rooftop & All-Day Brunch	Thonglor	International	4.9	822	฿฿฿ (500-800 THB/person)	Thonglor, 125/26 Thong Lo Thonglor, Watthana, Bangkok	~550m from BTS Thonglor	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Lucca%20Thonglor%20%E2%80%93%20Mediterranean%20Restaurant%2C%20Rooftop%20%26%20All-Day%20Brunch&query_place_id=ChIJbx8TnXKf4jARvOgGrfi8gCQ	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 65 594 9454. Website: https://lucca.co.th/visit. Category: Restaurant.
ra04	src_1	Supanniga Eating Room by Khun Yai	Thonglor	Thai	4.4	1725	฿฿฿ (400-600 THB/person)	160/11 Thong Lo Thonglor, Watthana, Bangkok	~700m from BTS Thonglor	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Supanniga%20Eating%20Room%20by%20Khun%20Yai&query_place_id=ChIJYSgxk6yf4jAROxN8pCQzqJA	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 91 774 9808. Website: http://www.supannigaeatingroom.com/. Category: Thai restaurant.
ra05	src_1	Fuego	Thonglor	International	4.8	618	฿฿฿ (500-700 THB/person)	ตึก The Taste Thonglor ชั้น 2 Thong Lo Thonglor, Watthana, Bangkok	~400m from BTS Thonglor	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Fuego&query_place_id=ChIJN7fHY7Gf4jAR8jjTD8UA81k	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 64 453 5621. Website: https://www.fuegobangkok.com/. Category: Restaurant.
ra06	src_1	Gapple - Market Place Thonglor	Thonglor	International	5	293	฿฿ (200-350 THB/person)	โครงการ มาร์เก็ต เพลส, 15 323 Thong Lo Thonglor, Watthana, Bangkok	~500m from BTS Thonglor	10:00-22:00 daily	partial	https://www.google.com/maps/search/?api=1&query=Gapple%20-%20Market%20Place%20Thonglor&query_place_id=ChIJR-cxHrOf4jARx4hXDW_x3Q8	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 94 888 2350. Website: https://www.facebook.com/gapplethailand. Category: Restaurant.
ra07	src_1	Breakfast Story Thonglor	Thonglor	International	4.7	582	฿฿ (250-400 THB/person)	154 Thong Lo Thonglor, Watthana, Bangkok	~650m from BTS Thonglor	10:00-22:00 daily	partial	https://www.google.com/maps/search/?api=1&query=Breakfast%20Story%20Thonglor&query_place_id=ChIJa5vc1pSf4jARnkGCYRYBpE8	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 2 121 7677. Website: https://www.breakfaststorybkk.com/. Category: Restaurant.
ra08	src_1	Di Vino Bangkok | Italian Restaurant Thonglor	Thonglor	Italian	4.7	382	฿฿฿ (500-750 THB/person)	Penny’s Balcony, Thong Lo Thonglor, Watthana, Bangkok	~750m from BTS Thonglor	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=Di%20Vino%20Bangkok%20%7C%20Italian%20Restaurant%20Thonglor&query_place_id=ChIJi7QNHVOe4jARgyB05vA6Gk4	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 2 714 8723. Website: https://www.divinobangkok.com/. Category: Italian restaurant.
ra09	src_1	GaGa Udon House @Thonglor	Thonglor	Japanese	4.8	1325	฿฿ (250-400 THB/person)	No. 90 Building, 1st Floor, Fifty Fifth Thonglor Thonglor, Napha Sap Alley, Lane 2 Thonglor, Watthana, Bangkok	~500m from BTS Thonglor	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=GaGa%20Udon%20House%20%40Thonglor&query_place_id=ChIJ-9VINeef4jARrEtHnUew4MY	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 63 335 5304. Website: http://gagaudon.com/. Category: Udon noodle restaurant.
ra10	src_1	KhuaKling PakSod Thong Lo	Thonglor	Thai	4.5	1506	฿฿ (300-450 THB/person)	98/1 Pai Di Ma Di Klang Alley Thonglor, Watthana, Bangkok	~600m from BTS Thonglor	10:00-22:00 daily	True	https://www.google.com/maps/search/?api=1&query=KhuaKling%20PakSod%20Thong%20Lo&query_place_id=ChIJe26gkKuf4jARIiXTKzB4REo	Real data scraped via Apify Google Maps Scraper on 2026-05-29. Phone: +66 86 053 7779. Website: http://khuaklingpaksod.com/. Category: Thai restaurant.
r05	src_2	Broccoli Revolution	Thonglor	Healthy / Vegetarian	4.4	762	฿฿ (300–450 THB/person)	899 Sukhumvit Soi 49, Khlong Toei Nuea, Bangkok	700m from BTS Thonglor	10:00–22:00 daily	True	https://www.wongnai.com/restaurants/broccoli-revolution	Plant-based and healthy menu; spacious; private dining room available for groups; good for mixed dietary requirements
r07	src_2	Kuppa Restaurant	Thonglor	Western / International	4.3	1098	฿฿ (280–420 THB/person)	39 Sukhumvit Soi 16, Khlong Toei, Bangkok	1.2km from BTS Thonglor; taxi or Grab recommended	09:00–22:00 Mon–Fri; 08:00–22:00 Sat–Sun	partial	https://www.wongnai.com/restaurants/kuppa	Bangkok institution for brunch; popular for weekend groups; limited large-table availability; arrive early
r09	src_2	Little Monster Gourmet Burger	Thonglor	Burger / Western	4.2	538	฿฿ (250–350 THB/person)	Thonglor Soi 9, Sukhumvit 55, Bangkok	800m from BTS Thonglor	11:00–22:00 daily	partial	https://www.wongnai.com/restaurants/little-monster-burger	Craft burgers; small venue (~40 seats); can be cramped for large groups; best for 8 or fewer; no group menu
r11	src_2	Quince Bangkok	Thonglor	Mediterranean	4.4	428	฿฿฿ (550–750 THB/person)	Sukhumvit Soi 45, Khlong Toei Nuea, Bangkok	1.1km from BTS Phrom Phong	12:00–22:30 Mon–Sat; closed Sun	True	https://www.wongnai.com/restaurants/quince-bangkok	Modern Mediterranean; chef-curated set menus for groups; BYOB wine policy; good for business dinners
r13	src_2	Bo.lan	Thonglor	Thai Fine Dining	4.8	928	฿฿฿฿ (1200–2000 THB/person)	24 Sukhumvit Soi 53, Khlong Toei Nuea, Bangkok	1.2km from BTS Thonglor	12:00–14:00, 18:30–22:00 Wed–Sun; closed Mon–Tue	partial	https://www.wongnai.com/restaurants/bolan	Michelin-starred traditional Thai; tasting menu format; advance booking mandatory for groups; extraordinary food quality but high cost
r15	src_2	Kaizen Sushi Bar	Thonglor	Japanese	4.3	492	฿฿฿ (450–650 THB/person)	DONKI Mall Thonglor, Sukhumvit Soi 63, Bangkok	200m from BTS Ekkamai (adjacent to Thonglor)	11:00–22:00 daily	True	https://www.wongnai.com/restaurants/kaizen-sushi-thonglor	Japanese sushi bar inside DONKI Mall; easy accessibility; group-friendly; lunch and dinner sets; sake selection available
r17	src_2	Trattoria da Antonio	Thonglor	Italian	4.4	384	฿฿฿ (500–700 THB/person)	Sukhumvit Soi 61, Khlong Toei Nuea, Bangkok	900m from BTS Thonglor	12:00–14:30, 18:00–22:30 Mon–Sat	True	https://www.wongnai.com/restaurants/trattoria-da-antonio	Family-run Italian with Italian-born chef; wood-fired pizza; group set menu available; BYOB wine; homely atmosphere
r19	src_2	Mia Dining	Thonglor	Mediterranean	4.5	312	฿฿฿ (600–850 THB/person)	Villa Market, Sukhumvit Soi 49, Bangkok	900m from BTS Thonglor	17:00–23:00 Tue–Sun	True	https://www.wongnai.com/restaurants/mia-dining-thonglor	Modern Mediterranean with Thai influences; chef's table available; curated wine list; private events on request
r21	src_2	Mr. Jones Orphanage	Thonglor	Western / Dessert	4.1	826	฿ (180–280 THB/person)	Gaysorn, 999 Phloen Chit Road, Pathum Wan, Bangkok	4km from BTS Thonglor; BTS Chidlom (different area)	10:00–22:00 daily	partial	https://www.wongnai.com/restaurants/mr-jones-orphanage	Dessert cafe with savoury options; not strictly Thonglor area; budget-friendly; limited group seating
r23	src_2	Ekkamai 63 Street Food	Thonglor	Thai Street Food	4.2	1240	฿ (120–220 THB/person)	Sukhumvit Soi 63 (Ekkamai), Bangkok	200m from BTS Ekkamai	17:00–23:00 daily	True	https://www.wongnai.com/restaurants/ekkamai-63-street-food	Outdoor street food cluster; authentic Thai; very budget-friendly; casual atmosphere; no reservations; good for groups comfortable with outdoor setting
r25	src_2	Paste Bangkok	Thonglor	Thai Fine Dining	4.6	458	฿฿฿฿ (900–1400 THB/person)	3rd Floor, Gaysorn Village, 999 Phloen Chit Road, Bangkok	3.5km from BTS Thonglor; BTS Chidlom nearby	12:00–14:30, 18:00–22:30 daily	partial	https://www.wongnai.com/restaurants/paste-bangkok	Michelin-starred Thai; ancient recipes modernised; advance booking required; slightly outside Thonglor but adjacent Bangkok fine dining scene
